pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
205.062,-81.514,90.0,top,C11,,,C_Disc_D3.0mm_W1.6mm_P2.50mm,100nF,tht
197.652,-130.302,0.0,top,C14,,,C_Disc_D3.0mm_W1.6mm_P2.50mm,100nF,tht
184.678,-130.4,0.0,top,C17,,,C_Disc_D3.0mm_W1.6mm_P2.50mm,100nF,tht
218.166,-66.499,180.0,top,C2,,,C_Disc_D3.0mm_W1.6mm_P2.50mm,100nF,tht
172.252,-130.4,0.0,top,C20,,,C_Disc_D3.0mm_W1.6mm_P2.50mm,100nF,tht
160.06,-130.556,0.0,top,C23,,,C_Disc_D3.0mm_W1.6mm_P2.50mm,100nF,tht
229.1993,-78.6681,-90.0,top,C28,,,CP_Radial_D5.0mm_P2.00mm,10µF 35v,tht
170.1,-100.8,180.0,top,C49,,,C_Disc_D3.0mm_W1.6mm_P2.50mm,220pF,tht
146.2,-130.3,0.0,top,C55,,,C_Disc_D3.0mm_W1.6mm_P2.50mm,100nF,tht
186.85,-101.0,0.0,top,C57,,,C_Disc_D3.0mm_W1.6mm_P2.50mm,220pF,tht
211.612,-130.302,0.0,top,C58,,,C_Disc_D3.0mm_W1.6mm_P2.50mm,100nF,tht
224.5693,-130.048,0.0,top,C59,,,C_Disc_D3.0mm_W1.6mm_P2.50mm,100nF,tht
244.0,-67.22,0.0,top,J1,,,PinHeader_1x10_P2.54mm_Vertical,Conn_01x10,tht
244.0,-95.48,0.0,top,J2,,,PinHeader_1x10_P2.54mm_Vertical,Conn_01x10,tht
236.6993,-66.82,0.0,top,J3,,,PinHeader_1x10_P2.54mm_Vertical,Conn_01x10,tht
236.6,-95.62,0.0,top,J4,,,PinHeader_1x10_P2.54mm_Vertical,Conn_01x10,tht
163.68,-100.6,180.0,top,R46,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,150Ω,tht
173.02,-100.9,0.0,top,R56,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,150Ω,tht
150.876,-70.089,-90.0,top,RN54,,,R_Array_SIP9,4.7KΩ,tht
161.351,-67.915,180.0,top,TP1,,,PinHeader_2x05_P2.54mm_Vertical,Conn_02x05_Odd_Even,tht
200.142,-72.639,-90.0,top,U1,,,DIP-28_W15.24mm,HM62256BLP,tht
213.116,-71.379,0.0,top,U2,,,DIP-20_W7.62mm,74LS574,tht
151.384,-125.73,180.0,top,U418,,,DIP-14_W7.62mm,74LS00,tht
165.1,-125.675,180.0,top,U419,,,DIP-14_W7.62mm,74LS08,tht
177.292,-125.73,180.0,top,U420,,,DIP-14_W7.62mm,74LS04,tht
189.484,-125.675,180.0,top,U421,,,DIP-16_W7.62mm,74LS112,tht
202.946,-125.675,180.0,top,U422,,,DIP-14_W7.62mm,SN74LS74,tht
216.662,-124.714,180.0,top,U423,,,DIP-14_W7.62mm,74LS10,tht
229.6193,-124.2232,180.0,top,U424,,,DIP-14_W7.62mm,74LS32,tht
