"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"TP1";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
2;"C14,C2,C5,C20,C8,C59,C17,C58,C55,C11,C23";"C_Disc_D3.0mm_W1.6mm_P2.50mm";11;"100nF";;;
3;"U2";"DIP-20_W7.62mm";1;"74LS574";;;
4;"HOLE2,HOLE1";"MountingHole_3.2mm_M3_Pad";2;"HOLE";;;
5;"C57,C49";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"220pF";;;
6;"U419";"DIP-16_W7.62mm";1;"74LS08";;;
7;"C28";"CP_Radial_D5.0mm_P2.00mm";1;"10µF 35v";;;
8;"J2,J3,J1,J4";"JST_EH_B10B-EH-A_1x10_P2.50mm_Vertical";4;"Conn_01x10";;;
9;"U3,U424";"DIP-14_W7.62mm";2;"74LS32";;;
10;"U418,U417";"DIP-16_W7.62mm";2;"74LS00";;;
11;"U420";"DIP-16_W7.62mm";1;"74LS04";;;
12;"U422";"DIP-16_W7.62mm";1;"SN74LS74";;;
13;"U421";"DIP-16_W7.62mm";1;"74LS112";;;
14;"U1";"DIP-28_W15.24mm";1;"HM62256BLP";;;
15;"U4";"DIP-14_W7.62mm";1;"74LS04";;;
16;"R56,R46";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"150Ω";;;
17;"RN54";"R_Array_SIP9";1;"4.7KΩ";;;
18;"U423";"DIP-14_W7.62mm";1;"74LS10";;;
